,"programming","c++","python","java","creativeCoding","openFrameworks","processing","arduino","revision","subversion","bazaar","text proc","bash","sed","perl","gawk","documentation","doxygen","IDE","eclipse","reporting","tableau","math","matlab","octave","maple","root","statistics","R ","text mining","SPSS","web","html","css","javascript","ajax/jquery","cordova","php","apache","database","mysql","postgresql","mongodb","neo4j","hdfs","tracking","webtrends","tealium","tealeaf","maxymiser","splunk","API","graphics","openGL","Qt4","GTK+","scientific","gsl","numpy","scipy","CGAL","parallel","msub","MPI-openMP","visualization","mayavi","povray","ERP/CRM","odoo","CAD","rhino","blender","GIS","qgis","openLayers"
"programming",0,10,10,10,10,10,10,10,10,10,5,2,3,3,5,4,3,3,7,8,0,0,4,6,7,1,8,10,5,10,5,3,3,3,10,10,10,10,5,3,5,2,2,2,0,1,0,0,0,4,0,10,10,10,10,10,7,7,7,7,10,10,10,10,7,7,7,4,4,0,0,0,6,3,7
"c++",,0,8,7,10,10,3,3,10,10,5,1,3,3,3,3,5,5,4,4,0,0,7,3,3,0,10,10,10,0,2,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,10,3,10,10,0,0,10,10,10,10,7,3,5,0,3,0,0,0,4,0,3
"python",,,0,5,4,3,2,5,10,10,5,6,3,3,3,3,4,4,4,4,0,0,7,3,3,0,4,8,6,3,3,5,3,0,6,3,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,8,5,3,4,10,10,2,10,10,2,5,3,3,3,7,3,8,8,0,0,0,4,0,4
"java",,,,0,6,3,9,8,5,5,3,3,0,0,0,0,3,5,10,10,0,0,5,3,3,0,7,4,5,0,0,8,0,0,10,5,5,0,0,0,0,0,0,0,5,7,0,0,0,0,0,5,4,3,3,4,5,8,0,0,3,5,3,3,2,2,2,0,3,0,0,0,5,3,5
"creativeCoding",,,,,0,10,10,10,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"openFrameworks",,,,,,0,7,7,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"processing",,,,,,,0,7,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arduino",,,,,,,,,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"revision",,,,,,,,,0,10,10,0,8,0,0,0,5,5,10,10,10,7,0,0,0,0,0,10,10,10,10,0,5,4,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0
"subversion",,,,,,,,,,0,10,0,8,0,0,0,10,5,3,5,5,5,0,0,5,0,0,5,5,10,0,0,5,5,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0
