,data analysis,data mining,machine learning,algorithm,Monte Carlo,molecular dynamics,modeling,data science,quantitative analysis,optimization,programming,computing,statisical mechanics,computational biophysics,statistics,text mining,signals,information theory,database,visualization,image processing,geom transformation,map reduce,grid,cloud,fast lerner,independent,creative,flexible,international languages,coaching
data analysis,0,10,8,10,6,3,8,7,5,5,10,10,7,6,10,4,8,4,6,10,5,6,5,10,10,5,10,3,4,0,10
data mining,,0,10,10,5,2,10,10,6,5,8,8,7,4,10,10,5,7,10,7,0,8,10,7,8,7,8,7,6,0,5
machine learning,,,0,10,4,1,10,10,5,,,,,,,,,,,,,,,,,,,,,,
algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Carlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
molecular dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantitative analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statisical mechanics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computational biophysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
information theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geom transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map reduce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fast lerner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
